id,date,time_cl,phase,group,home,away,home_name,away_name,city
1,2026-06-11,15:00,Group Stage,A,MEX,RSA,México,Sudáfrica,Mexico City
2,2026-06-11,22:00,Group Stage,A,KOR,CZE,Corea del Sur,Chequia,Guadalajara
3,2026-06-12,15:00,Group Stage,B,CAN,BIH,Canadá,Bosnia y Herzegovina,Toronto
4,2026-06-12,21:00,Group Stage,D,USA,PAR,Estados Unidos,Paraguay,Los Angeles
5,2026-06-13,21:00,Group Stage,C,HAI,SCO,Haití,Escocia,Boston
6,2026-06-14,00:00,Group Stage,D,AUS,TUR,Australia,Turquía,Vancouver
7,2026-06-13,18:00,Group Stage,C,BRA,MAR,Brasil,Marruecos,New York / New Jersey
8,2026-06-13,15:00,Group Stage,B,QAT,SUI,Catar,Suiza,San Francisco Bay
9,2026-06-14,19:00,Group Stage,E,CIV,ECU,Costa de Marfil,Ecuador,Philadelphia
10,2026-06-14,13:00,Group Stage,E,GER,CUW,Alemania,Curazao,Houston
11,2026-06-14,16:00,Group Stage,F,NED,JPN,Países Bajos,Japón,Dallas
12,2026-06-14,22:00,Group Stage,F,TUN,SWE,Túnez,Suecia,Monterrey
13,2026-06-26,23:00,Group Stage,G,NZL,BEL,Nueva Zelanda,Bélgica,Vancouver
14,2026-06-26,23:00,Group Stage,G,EGY,IRN,Egipto,Irán,Seattle
15,2026-06-25,19:00,Group Stage,F,JPN,SWE,Japón,Suecia,Dallas
16,2026-06-25,19:00,Group Stage,F,TUN,NED,Túnez,Países Bajos,Kansas City
17,2026-06-26,20:00,Group Stage,H,URU,ESP,Uruguay,España,Guadalajara
18,2026-06-26,20:00,Group Stage,H,CPV,KSA,Cabo Verde,Arabia Saudita,Houston
19,2026-06-26,15:00,Group Stage,I,NOR,FRA,Noruega,Francia,Boston
20,2026-06-26,15:00,Group Stage,I,SEN,IRQ,Senegal,Irak,Toronto
21,2026-06-27,19:30,Group Stage,K,COD,UZB,RD Congo,Uzbekistán,Atlanta
22,2026-06-27,19:30,Group Stage,K,COL,POR,Colombia,Portugal,Miami
23,2026-06-17,00:00,Group Stage,J,AUT,JOR,Austria,Jordania,San Francisco Bay
24,2026-06-27,22:00,Group Stage,J,ARG,JOR,Argentina,Jordania,Dallas
25,2026-06-18,12:00,Group Stage,A,CZE,RSA,Chequia,Sudáfrica,Atlanta
26,2026-06-18,15:00,Group Stage,B,SUI,BIH,Suiza,Bosnia y Herzegovina,Los Angeles
27,2026-06-18,18:00,Group Stage,B,CAN,QAT,Canadá,Catar,Vancouver
28,2026-06-18,21:00,Group Stage,A,MEX,KOR,México,Corea del Sur,Guadalajara
29,2026-06-19,21:00,Group Stage,C,BRA,HAI,Brasil,Haití,Philadelphia
30,2026-06-19,15:00,Group Stage,C,SCO,MAR,Escocia,Marruecos,Boston
31,2026-06-20,00:00,Group Stage,D,TUR,PAR,Turquía,Paraguay,San Francisco Bay
32,2026-06-19,15:00,Group Stage,D,USA,AUS,Estados Unidos,Australia,Seattle
33,2026-06-20,16:00,Group Stage,E,GER,CIV,Alemania,Costa de Marfil,Toronto
34,2026-06-20,20:00,Group Stage,E,ECU,CUW,Ecuador,Curazao,Kansas City
35,2026-06-20,13:00,Group Stage,F,NED,SWE,Países Bajos,Suecia,Houston
36,2026-06-21,00:00,Group Stage,F,TUN,JPN,Túnez,Japón,Monterrey
37,2026-06-15,18:00,Group Stage,H,KSA,URU,Arabia Saudita,Uruguay,Miami
38,2026-06-15,12:00,Group Stage,H,ESP,CPV,España,Cabo Verde,Atlanta
39,2026-06-15,15:00,Group Stage,G,BEL,EGY,Bélgica,Egipto,Seattle
40,2026-06-15,21:00,Group Stage,G,IRN,NZL,Irán,Nueva Zelanda,Los Angeles
41,2026-06-16,18:00,Group Stage,I,IRQ,NOR,Irak,Noruega,Boston
42,2026-06-16,15:00,Group Stage,I,FRA,SEN,Francia,Senegal,New York / New Jersey
43,2026-06-22,13:00,Group Stage,J,ARG,AUT,Argentina,Austria,Dallas
44,2026-06-22,23:00,Group Stage,J,JOR,ALG,Jordania,Argelia,San Francisco Bay
45,2026-06-17,16:00,Group Stage,L,ENG,CRO,Inglaterra,Croacia,Dallas
46,2026-06-17,19:00,Group Stage,L,GHA,PAN,Ghana,Panamá,Toronto
47,2026-06-17,13:00,Group Stage,K,POR,COD,Portugal,RD Congo,Houston
48,2026-06-17,22:00,Group Stage,K,UZB,COL,Uzbekistán,Colombia,Mexico City
49,2026-06-24,18:00,Group Stage,C,BRA,SCO,Brasil,Escocia,Miami
50,2026-06-24,18:00,Group Stage,C,MAR,HAI,Marruecos,Haití,Atlanta
51,2026-06-24,15:00,Group Stage,B,SUI,CAN,Suiza,Canadá,Vancouver
52,2026-06-24,15:00,Group Stage,B,BIH,QAT,Bosnia y Herzegovina,Catar,Seattle
53,2026-06-24,21:00,Group Stage,A,MEX,CZE,México,Chequia,Mexico City
